scan_name,proposed_scan_group,note
delivered to alternative address received by a de jong,,
delivery to dpd pickup point after unsuccessful delivery attempt not home by i4light,,
held in trailer from hub trailer 2960,,
unable to deliver recipient absent by n owen,,
delivered to alternative address received by handy vip eyup,,
delivered to alternative address received by hartmann,,
delivered to alternative address received by j sj,,
delivered to alternative address received by kroeber,,
delivered to alternative address received by nr87,,
delivery to dpd pickup point after unsuccessful delivery attempt not home by danny winter,,
delivery to dpd pickup point after unsuccessful delivery attempt not home by frans van heel van heel,,
delivery to dpd pickup point after unsuccessful delivery attempt not home by pricilja veenkamp veen,,
held in customs vat/id required,,
ready for collection sms sent successfully,,
recipient absent on second delivery attempt by cox,,
redirected to southall depot shipment delayed sms shipment delayed e mail notification sent,,
unable to deliver address changed by pieterse mode a textiel,,
redelivery request service upgrade made for tue 17 october 2023 between 07 00 and 22 00 upgrade acknowledgement e mail notification sent,,
the receiver has refused to pay the duty and tax charges on the parcel,,
shipment voided,,
shipment voided parcel not shipped e mail notification sent,,
your parcel has arrived at our airport facility in the uk for processing,,
shipment voided parcel not shipped sms parcel not shipped e mail notification sent,,
shipment voided parcel not shipped sms notification sent,,
xray of parcel carried out,,
unable to deliver insufficient time available delayed sms delayed e mail notification sent,,
your parcel arrived in the destination country pending customs clearance,,
the receiver has been advised of when their delivery will take place between 11 23 12 23,,
delivered left at storage received by myerss,,
delivered left at lindale received by mark,,
delivery to dpd pickup locker texaco requested not home sms not home e mail notification sent,,
delivered left at blt received by king,,
in transit,,
departed fedex hub,,
left fedex origin facility,,
at local fedex facility,,
arrived at fedex hub,,
on fedex vehicle for delivery,,
in fedex possession,,
^delay$ ,,
clearance in progress,,
operational delay,,
shipment information sent to fedex,,
picked up,,
international shipment release import,,
at destination sort facility,,
international shipment release export,,
ready for recipient pickup,,
delivery option requested,,
at fedex origin facility,,
clearance delay,,
^local delay$,,
returning package to shipper,,
delivery option updated,,
^delivered$,,
shipment cancelled by sender,,
dropped off at fedex onsite,,
delivery exception,,
dropped off at fedex onsite.*,,
dropped off at fedex facility,,
hold at location request accepted,,
delay held unable to collect payment,,
delivered payment received,,
delay business closed no delivery attempt,,
delay package at station arrived after courier dispatch,,
delay customer not available or business closed,,
delay rerouted to revised delivery address,,
delay shipment refused by recipient,,
delivered left at garage package delivered to recipient address release authorized,,
delivered package delivered to recipient address release authorized,,
delivered left on porch package delivered to recipient address release authorized,,
delay future delivery requested,,
delivered delivered to address other than recipient,,
delivered delivered to recipient at fedex facility,,
local delay delay beyond our control,,
delay unacceptable or incompatible hazardous material,,
local delay local delivery restriction delivery not attempted,,
delay holding recipient not in fedex service area,,
delivered damaged delivery completed,,
delay retrieved shipment,,
^on the way$,,
on the way package available for clearance,,
on the way a trusted third party vendor is on the way with your package,,
on the way paperwork available,,
delay a request was made to change this delivery date,,
delivered left on porch,,
delivered left at garage,,
on the way package to be cleared by fedex broker,,
delivered left at front door,,
exceeds service limits oversized,,
delivered to recipient at fedex onsite,,
delivered to a non fedex clearance broker,,
delay delivery was refused by the recipient,,
delivered we received payment during delivery,,
shipment exception improper or missing international paperwork contact customer service,,
shipment exception held cleared regulatory agency s after aircraft/truck departed,,
shipment arriving on time,,
package received after final location pickup has occurred scheduled for pickup next business day,,
shipment exception unable to contact recipient for broker info,,
delivery updated package at station arrived after courier dispatch,,
on the way your package may be late local delivery restrictions,,
shipment exception unacceptable or incompatible hazardous material,,
arrived at fedex location,,
delivery updated,,
delivered left in lobby/vestibule,,
delay package delayed,,
shipment exception fedex holding package,,
delivery updated your package may be late local delivery restrictions,,
delay adult recipient unavailable age and required identification vary by country,,
dropped off at fedex authorized shipcenter,,
delay fedex holding package,,
delay we have your package,,
delivery updated incorrect address,,
delivered left at back door,,
delay recipient location security delay delivery will be reattempted,,
delivered left at front desk,,
delivery updated held unable to collect payment,,
delay customer access delay,,
delivered left at front door package delivered to recipient address release authorized,,
dropped off at fedex onsite vons,,
dropped off at fedex onsite dollar general,,
dropped off at fedex authorized shipcenter nobleton expres mart,,
delivered left at back door package delivered to recipient address release authorized,,
delivered left in patio/carport,,
delivered left in mail room package delivered to recipient address release authorized,,
departed fedex location,,
en el vehÃ­culo de fedex para entregar,,
excepciÃ³n de entrega el cliente no estÃ¡ disponible o la empresa cerrÃ³,,
delivered left in mail room,,
delay location not currently served by fedex,,
delivered left in locker/storage,,
liberaciÃ³n de envÃ­os internacionales importaciÃ³n,,
saliÃ³ del centro de distribuciÃ³n de fedex,,
address corrected,,
dejÃ³ la oficina fedex de origen,,
en camino paquete disponible para liberaciÃ³n aduanal,,
llegÃ³ al centro de distribuciÃ³n de fedex,,
recogido,,
retorno del paquete al remitente nÃºmero de rastreo de la devoluciÃ³n,,
delay unable to contact recipient for broker info,,
delivery option request cancelled,,
shipment exception your package is over the size/weight limit,,
shipment exception location not currently served by fedex,,
dropped off at fedex authorized shipcenter staples package received after final location pickup has occurred scheduled for pickup next business day,,
delivered delivered to recipient at fedex office,,
return label link emailed to return sender,,
dropped off at fedex authorized shipcenter rawleigh food mart,,
delay your package is over the size/weight limit,,
en oficina local de fedex,,
en camino,,
informaciÃ³n del envÃ­o enviada a fedex,,
shipment exception barcode label unreadable and replaced,,
local delay your package may be late local delivery restrictions,,
shipment exception we re waiting for more packages from your multi piece shipment,,
shipment arriving early,,
liberaciÃ³n de envÃ­os internacionales exportaciÃ³n,,
delivered to a non fedex clearance broker payment received,,
^50$ Code not found,,
^125$ Customs Cleared,,
275 Item touched by carrier,,
^900$ DG - Limited Quantities (ROAD Service Only!),,
^300$ Item Out for delivery,,
^500$ Delivered,,
150  crossing border,,
155 crossing received,,
200 Item scanned at postal facility,,
225: ITEM_SCANNED_AT_FACILITY,,
250: ITEM_SCANNED_FOR_CROSSING,,
75: SHIPMENT_PROCESSED,,
^410$ Item at pick up location,,
^400$ Delivery attempted,,
^0$ ,,
^120$ Code not found,,
^450$ Redireced to new address requested,,
^933$ Customer to collect - Approaching deadline,,
^998$ Itemised invoiced required,,
^1409$ Consignee telephone required,,
^904$ Oversized pieces,,
^1433$ Consignees street required,,
^1435$ Consignees zip code required,,
^656$ Code not found,,
1422 => Return arrived at Norsk Hub,,
^664$ Misroute,,
^665$ Label created,,
^918$ Label not received,,
806 => Departed sort facility,,
^924$ Driver collected,,
^688$ Customs procedure/under inspection,,
^840$ Clearance delay,,
^694$ Waiting for payment of Duties & Taxes,,
^705$ Refused,,
^706$ Consignee does not want the goods,,
^707$ Consignee did not order the goods,,
^805$ Arrived at sort facility,,
^733$ Out for delivery,,
^734$ Due for delivery next working day,,
735 => Given to on-forwarder,,
^823$ Already collected,,
^740$ Collection not ready,,
^744$ Consignee to collect from local pickup point,,
^745$ Collection booking received,,
^746$ Collection booked with agent,,
^747$ Collection booked with driver,,
^748$ Collection booked with sub-contrator,,
^749$ Collection confirmed as collected,,
751 => Collection en route to main hub,,
932 => Collection arrived at UK gateway,,
752 => Collection in main hub,,
^766$ Need phone number,,
^901$ Address does not exist,,
^781$ Delivery being arranged,,
^775$ Need consignee tel. No.,,
^777$ Consignee refused shipment,,
^783$ Company closed,,
^792$ Unable to Deliver to Receiver,,
^795$ To be returned to Origin,,
^797$ Info received and passed to agent,,
^799$ Consignee to collect from agent office,,
^803$ POD for part delivery,,
^802$ Delivered,,
984 => Processed at UK Hub,,
985 => Departed UK Hub,,
^986$ Customs Cleared,,
987 => Item Scanned at Postal facility,,
988 => Item Grouped at Partner facility,,
989 => Item in transit with Carrier,,
^990$ Item out for Delivery,,
^991$ Delivery attempted,,
^992$ Item available for Pickup,,
^994$ Item successfully delivered,,
^995$ Return received,,
1044 => Processed at International Hub,,
1048 => Flight departed UK,,
1064 => Accepted at Carrier Facility,,
^1065$ Item Sortation Complete,,
^1067$ Tendered to Postal Service,,
1411 => Flight arrived,,
^1443$ Customs Cleared - Pending Release,,
^1448$ Item scanned in container,,
^1495$ Arrived at USPS delivery unit,,
^1325$ Delayed departure,,
^769$ Consignee not in,,
^1066$ Tendered to Agent for Delivery,,
^789$ Approaching agents deadline,,
^698$ Waiting for original invoices,,
^1506$ Accepted at USPS facility,,
^1546$ Customs  Receiver to pay clearance charges,,
1445 => Partial Processed at UK Hub,,
1503 => Processed through USPS facility,,
1500 => departed USPS facility,,
1496 => Arrived at USPS facility,,
1501 => Departed post office,,
^841$ Clearance release,,
^863$ Send next rotation,,
^686$ Consolidation arrived at gateway,,
^957$ Pre-Export inspection,,
^402$ Code not found,,
^732$ Being processed at destination,,
^678$ Missed connection,,
^615$ Code not found,,
^682$ Destination on holiday,,
^800$ Awaiting further instructions from Shipper,,
^993$ Item re-directed to new address,,
^679$ Weather delay,,
^794$ Shipment destroyed by agent,,
^1449$ Partial scanned in container,,
^1529$ Seized by Customs,,
^703$ Broker to clear,,
^1002$ Lithium battery,,
^902$ Tax ID,,
^648$ Code not found,,
^714$ Detailed inspection,,
^756$ Roads,,
^680$ Misrouted by carrier,,
^0$ ,,
^813$ Lost,,
^771$ Consignee not in - telephone number provided is incorrect,,
^691$ Waiting for standard paperwork,,
^708$ Consignee will not pay the duty / VAT amount,,
^755$ Local weather,,
^809$ Lost by agent,,
^773$ Consignee not known,,
^709$ Consignee will not complete the import entry documentation,,
^677$ Missing with carrier,,
682 Destination on holiday,,
715 Product restrictions,,
776 Consignee moved,,
1553 Undeliverable due to damage,,
1043 Door code required,,
1436 MSDS required,,
625 Code not found,,
1437 Shipment received damaged,,
754 Missed internal cut-off,,
Accepted at USPS origin facility,,
Clearance Payment not made by Receiver,,
Destination on holiday,,
Stopped,,
Damaged,,
Deadlines,,
Not Found,,
Prepared for export / in transit,,
Waiting for Power of Attorney,,
Piece not received,,
Flight cancelled,,
Data Exception resolved ï¿½ Send Next Rotation,,
On hold - see Portal notes,,
Money,,
Import License Required,,
Customs charges paid by Receiver,,
Send next rotation - restricted item found,,
Shipment inspection,,
Consignee did not order the goods,,
RETURN REQUESTED BY CUSTOMER,,
Partial Departed UK Hub,,
Nail polish,,
Late arrival of carrier,,
Prohibited item,,
Incorrect Description,,
Consignee Instructions - Authorised change of delivery address,,
Consignee on holiday,,
Departed UK facility,,
Shipment Value exceeds service limits,,
Better Invoice required,,
Consignees full name required,,
Private address,,
Delivered to postal agent,,
Consignee not registered at Customs,,
Industrial strikes,,
Aerosols,,
USPS in possesion of the item,,
PO Box address,,
HS Code Required,,
Partial scanned in RETURNS container,,
Incorrectly labelled,,
Insufficient Packaging,,
RETURNS: Customer to collect,,
676 Flight offloaded,,
1438 Nail polish,,
780 Need contact name,,
1439 Aerosols,,
parcel processed at the depot,,
this parcel is back at the.*depot due to an access issue please provide further instruction,,
received this parcel at the hub and will be sorted to the customers delivery depot,,
out for delivery,,
this parcel has been delivered to the delivery address,,
this parcel has been delivered$,,
this parcel has been delivered to the customers outbuilding,,
this parcel has been delivered to the customers shed,,
parcel delivered with a signature,,
customer sent via parcelshop,,
parcel processed at the hub,,
manifested for delivery,,
collected from parcelshop,,
eta of delivery,,
outbound receipt at sub depot,,
this parcel has been collected from the customer,,
pick up request manifested,,
the courier has received this parcel for delivery and will set a delivery time shortly,,
rescheduled delivery.*today,,
not delivered business closed,,
we have collected this parcel from the locker,,
failed pshop visit van breakdown,,
this parcel has been delivered to the customers letterbox,,
secure delivery to neighbour,,
not collected no longer req d,,
we were unable to deliver this parcel today unfortunately this will be re attempted within 24hours,,
hub infeed scan,,
we ve not been able to deliver today we ll try on the next working day,,
not collected other,,
we re unable to deliver this parcel today we will now deliver the next working day,,
not collected not suitable,,
label reprint,,
enquiry resolved,,
enquiry raised,,
signature from neighbour,,
this parcel has been dispatched from the hub,,
secure delivery open porch,,
secure delivery enclosed porch,,
secure delivery back door,,
secure delivery building foyer/entrance,,
we haven t been able to attempt delivery but will deliver on the date shown below,,
secure delivery parcel box,,
updated the delivery address for this parcel,,
secure delivery residential concierge,,
we couldn t deliver today due to a processing incident we ll update tracking for your parcel soon,,
not collected postcode error,,
not coll d 3rd final attempt,,
secure delivery car port,,
this parcel has been delivered to the customers garage,,
the address provided isn t correct so we can t deliver today please provide the correct details,,
not collected too large,,
not collected access problem,,
driver not collected bulk out,,
not del d 3rd final attempt,,
not collected address query,,
this parcel has been delivered to the customers greenhouse,,
not able to deliver during the eta but will still deliver today,,
failed pshop visit driver refuse,,
failed pshop visit pshop closed,,
failed pshop visit bad weather,,
failed pshop visit road closed,,
failed pshop visit shop refused,,
pick up to be reattempted,,
we haven t been able to attempt collection but we ll collect this parcel on the date shown below,,
refused upon delivery,,
the customer has changed their delivery preference to deliver to the original address,,
in hub failed customs clearance,,
this parcel has been delivered to the customers porch,,
unable to deliver this parcel due to access issues please provide further details,,
awaiting despatch from hub,,
inbound receipt at sub depot,,
this parcel is currently being processed to be returned to the retailer,,
not collected,,
we have received the details for this parcel and expect it to reach.*shortly,,
this parcel is back at.*depot due to an access issue please provide further instruction,,
divert to neighbour requested,,
located in manual sort,,
return has been processed at the.*hub and will.*,,
return has been processed at.*hub and will be with the retailer shortly,,
we haven t been able to attempt collection but we ll try again on the next working day,,
driver not scanned,,
label printed in parcelshop,,
dropped parcel locker,,
located at scan to trailer,,
parcel delayed 24hrs at the depot,,
pick up.*today,,
rescheduled pick up.*today,,
eta failed pickup,,
this parcel is back at the depot after the customer refused it,,
the customer has requested that this parcel be diverted to their.*,,
previously collected,,
attempted hht scan,,
the courier hasn t received this parcel please allow 24hrs for the courier to receive it,,
located in depot returns sort,,
this parcel is on its way to the courier,,
inbound parent child at depot,,
validated as not missing,,
this parcel is back at the depot due to an address issue,,
we have received the details for this parcel and expect it to reach the.*network shortly,,
unable to deliver today due to a delay,,
courier to reattempt unable to get within geofence,,
delivered to the parcelshop,,
couldn t deliver today due to bad weather tracking will be updated when the parcel is on its way,,
we can t deliver.*due to a road incident,,
we haven t been able to deliver to the parcelshop.*re attempt on the next working day,,
located in marshalling,,
this parcel is being redirected to the correct depot and will arrive in 24hrs,,
courier acknowledged diversion request,,
this parcel has been delayed please allow 24hrs for the courier to receive it,,
we have disposed of this parcel,,
safe place.*request,,
this parcel is back at the depot and the damage will be assessed,,
unfortunately this.*is damaged we will return it to the depot to assess the damage,,
parcel query receipt at depot,,
hub inward return scan,,
depot returns re induction,,
this parcel is too large to deliver we will arrange for a specialised courier to deliver this,,
cleansed parent,,
manual line audit,,
cr delivery.*today,,
depot re induction,,
held in upp final attempt,,
manual sort at hub,,
in hub item s missing,,
awaiting despatch from depot-,,
damage scan,,
received damaged from.*,,
non collection customer no longer at address,,
none,,
unfortunately this parcel is damaged we ll assess the damage and update tracking,,
we ve had to change the method of delivery for this parcel meaning it has been delayed by 24hrs,,
delivered bfpo hq uk,,
safe place open porch request,,
this parcel is too large a specialist evri courier will deliver on the next working day,,
van held pshop refused,,
in hub missing customs info,,
damaged after courier delivery activity,,
in depot stop return,,
this parcel was lost as a result of a lost label but is now resolved and en route for delivery,,
we haven t been able to deliver to the shop today we ll have it on its way on the next working day,,
in hub contents damaged,,
in hub item leaking,,
damaged after hub receipt,,
delivery sorted at depot,,
we have this parcel we ll get it on its way once the parcel information has been sent to evri,,
delivered to courier,,
your parcel has been dropped off at our evri locker we ll be collecting it shortly,,
in depot expired,,
damaged after depot returns sort,,
in hub parcel expired,,
return has been processed at the hermes hub and will be with the retailer shortly,,
the parcelshop hasn t received this parcel as expected please allow 24hrs for an update,,
damaged after depot sort,,
damaged after pshop driver collection,,
stolen parcel,,
return has been processed at the evri depot and will be with the retailer shortly,,
stop and return customer request,,
damaged after courier inbound activity,,
safe place building foyer/entrance request,,
damaged after hub despatch,,
locker access problem,,
return has been processed at the evri hub and will be with the retailer shortly,,
pre advice loaded from offline qr code,,
stop and return acknowledged,,
attempted delivery,,
the address provided isn t correct so please send a replacement with the correct address,,
damaged after depot return despatch,,
awaiting hub return despatch,,
stop and return customer dispute,,
stop and return parcel out of sla,,
safe place residential concierge request,,
damaged after hub returns receipt,,
change of delivery method alert pshop,,
we can t deliver due to a road incident we ll update tracking once your parcel is on its way,,
the parcel is at the local depot and is being sorted for delivery within 24 hours,,
delivered to customer,,
held in pra stop and return,,
damaged after depot receipt,,
preadvice update,,
refused not ordered,,
misrouted via gp,,
damaged after driver collected from locker,,
we have arrange for this parcel to be returned as requested by the retailer,,
potential security issue,,
exception resolved,,
we have this parcel we ll get it on its way once the parcel information has been sent to hermes,,
driver not del no preadvice,,
sort at internal chute,,
the parcel is too large for the locker we re now returning the parcel back to you,,
return has been processed at the hermes depot and will be with the retailer shortly,,
damaged after pshop driver delivery,,
courier received,,
delivered to secure location,,
processed at depot,,
processed at hermes hub,,
receipt at hub,,
received at hermes hub,,
van held locker access problem,,
in hub incomplete address,,
recovered by net buster,,
we re unable to deliver this parcel due to access issues please send a replacement parcel,,
deferred p c scan,,
we re unable to deliver this parcel today please send a replacement parcel,,
we couldn t deliver today due to a transport incident we ll update tracking for your parcel soon,,
damaged after pshop customer drop off,,
we re unable to deliver this parcel as it has been damaged please send a replacement parcel,,
address amended by client,,
collection updated,,
delivery preference specified,,
parcel delayed 24hrs at the hub,,
new parcel label created,,
pre advice loaded,,
parcel disposed of due to exceeding maximum shelf life,,
this parcel is too large a specialist hermes courier will deliver on the next working day,,
divert to parcel shop or locker processed in up,,
in hub prohibited or dangerous item,,
the information requested has been obtained and the hold has been resolved,,
^delivered$,,
return service shipping label was left with the shipment s receiver label,,
a phone number is needed prior to clearance or delivery,,
a phone number is requied for clearance or delivery we re working to obtain this information,,
need phone number,,
a phone number is requied for clearance or delivery were working to obtain this information,,
consignee will not accept delivery of a package during a certain time period,,
the receiver will only accept delivery during certain hours we re adjusting delivery plans as quickly as possible,,
lost package investigation,,
lost package tracer,,
trace only tracer,,
tracer request,,
package not picked up at retail location returned to shipper,,
the package is being returned to the sender at a different service level,,
the package was returned to the sender and the service level was downgraded,,
the post office was unable to deliver the ups surepost package as addressed and returned it to the sender,,
package was damaged and is being held at a ups location,,
this damage being held at an agent location ups will notify the sender with details of the damage,,
as requested by the sender the package is being returned conact the sender for additional information,,
shipper requested return of package,,
shipper requested ups to return package contact shipper for more information,,
additional customs clearance processing is required for formal entry submission,,
formal export entry requires additional customs clearance processing time at export location,,
a message has been left for the receiver to call ups,,
email or telegram has been sent to request the recipient to contact ups,,
no one answered the phone when ups called,,
ups was unable to contact the receiver,,
we re attempting to contact the receiver to request additional information,,
a postcard has been sent to the recipient requesting that they contact ups,,
we re attempting to get further instructions and may return the shipment,,
ups sent email to request the recipient to contact ups about shipment on hold,,
weight ratio ups will verify value with receiver before customs clearance,,
a government agency has requested a re evaluation of the invoiced package value,,
clearing agency is requiring an invoice comparison to the items being shipped,,
customs is requiring an invoice comparison to the items being shipped,,
unable to deliver to ups access point will reattempt delivery to ups access point on the next business day,,
the driver was unable to collect funds on the 1st delivery attempt a 2nd delivery attempt will be made,,
unavailable for pickup on the 2nd attempt a 3rd pickup attempt will be made,,
the package was not ready at the time of the second pickup attempt a final attempt will be made,,
the original ups access point is not available for delivery we ll contact receiver for an alternate delivery location,,
the receiver is out of business,,
the receiver is no longer in business,,
the value is missing on the invoice and is required for clearance,,
the shipment value is missing from the invoice and is required for clearance we re working to obtain this information,,
incorrect currency code on the invoice,,
the customer must provide the unique customs identification number before the shipment can be released,,
power of attorney documentation is missing and is required for clearance,,
transit or bond documentation is missing and is required for clearance we are working to obtain this information,,
a certificate of origin document is missing and is required for clearance,,
importer disputes the value or other information on invoice shipment held to verify accuracy with shipper,,
an adult signature is required to complete this delivery ups will make a final attempt,,
adult signature required to sign for this package not delivered a 3rd delivery attempt will be made,,
the receiver was contacted for further information no information has been received as of yet,,
damaged in transit chemical,,
merchandise missing balance is being delivered ups will notify the sender with details of the damage,,
saturday delivery,,
the driver was unable to collect funds on the final attempt,,
the driver was unable to collect funds on the 3rd delivery attempt,,
upgrade to saturday delivery,,
an adult signature is required for this package,,
adult signature required to sign for this pkg not delivered,,
your package cannot be delivered to a rural route address we re attempting to update the address,,
contact ups for additional information,,
the driver was unable to collect funds on the 2nd delivery attempt a 3rd delivery attempt will be made,,
shipment transferred to free trade zone or alternate broker per customer request,,
the package was not picked up by the receiver at the ups access point and will be returned to sender,,
damaged merchandise discarded balance being returned ups will notify the sender with the details,,
damaged merchandise discarded balance being delivered ups will notify the sender with details of the damage,,
mechanical failure occurred,,
mechanical failure,,
disruption in network tractor trailer,Delay due to mechanical failure,
breakdown on property,,
a mechanical failure has caused a delay we will update the delivery date as soon as possible,,
a mechanical failure has delayed delivery we re adjusting plans to deliver your package as quickly as possible,,
package could not be located for intercept,,
an import license is missing and is required for clearance,,
the request for this package was cancelled,,
the package was not ready at the time of the first pickup attempt a second attempt will be made label,,
not ready for pickup on the 1st attempt a 2nd pickup attempt will be made label,,
not ready for pickup on the 1st attempt a 2nd pickup attempt will be made,,
the consignee has refused to use ups as the customs broker,,
the maximum days to hold the package at the ups access point location expired the package will be returned,,
adult signature required to sign for this package not delivered a 2nd delivery attempt will be made,,
post office box address ups is attempting to obtain an address to which delivery can be made not delivered,,
shipment is held due to unrealist value,,
this returned package requires an export invoice for duty relief,,
origin goods being returned export invoice required for duty relief,,
your shipment was not processed by ups brokerage and has not cleared customs this has caused a delay,,
shipment not processed by brokerage shipment has not cleared customs,,
all merchandise is being returned ups will notify the sender with details of the damage,,
the package never arrived at the destination,,
claim issued,,
package not eligible for ups access point delivery will re attempt delivery at the original address,,
delivery to ups access point unsuccessful a second attempt at the receiver s address will be made,,
delivery to ups access point location was unsuccessful we will make a second attempt at the receiver s address,,
the package is scheduled for transfer to the post office by the next business day allow at least two days for delivery,,
package transferred to local post office allow for 1 to 2 additional days for delivery,,
merchandise left with receiver ups will notify the sender with details of the damage,,
ups contacted the sender,,
this package contains alcohol and we are unable to deliver or return it to the sender we ll contact the sender,,
this package contains alcohol and will be held for pickup by the sender only,,
ups prohibits air transport of this hazardous material,,
the package contains articles that ups prohibits for international shipping,,
the package contains a restricted commodity we ll process according to standard protocol,,
contains a ups prohibited article for international shipments,,
a hazardous material irregularity has occurred with the shipment ups will contact the shipper with further information,,
an export license is missing and is required for clearance,,
the service selected is not available to the destination address,,
downgraded forwarded to consignee selected service is not available,,
the service has been changed and the delivery is being rescheduled,,
undeliverable international shipment ups is obtaining further instructions or approval for return shipment,,
need return to sender authorization,,
the business was closed today a delivery attempt will be made on the next business day,,
the package remains at the ups access point location and is reaching the maximum days allowed to be held at location,,
customs form for personal belongings required from receiver,,
the package remains at the ups access point and is reaching the aged date,,
the receiver requests ups to hold this shpt and contact them for specific information before customs clearance,,
returned to shipper via package return label,,
late trailer,,
a late ups trailer arrival has delayed delivery we re adjusting plans to deliver your package as quickly as possible,,
we have not yet unloaded the package from the trailer this may delay delivery,,
the shipper requested that we hold this package,,
we attempted to deliver your package however we were unable to collect the funds required to complete delivery,,
ups contacted the receiver,,
package data processed by brokerage waiting for clearance,,
brokerage released shipment shipment is submitted to clearing agency for further clearance,,
the shipment has been dropped off and is now at the ups store r,,
the shipment has been dropped off and is now at a ups retail location,,
the shipment has been dropped off and is now at a ups access point,,
the retailer has prepared the package for return to ups,,
the ups access point location has prepared the package for return to ups,,
the ups access point has prepared the package for return to ups,,
out for delivery out for delivery,,
order processed ready for ups,,
receiver elected to keep package,,
the receiver picked up the package that was being held for them,,
the receiver chose to keep the package label,,
the receiver chose to keep the package,,
shipment delivered,,
hub scan,,
updated arrival,,
unload scan,,
your package was processed at our facility,,
processed at ups facility,,
location scan,,
your package is in transit to the ups facility,,
released by clearing agency now in transit for delivery,,
released by clearing agency now in transit,,
in transit to,,
updated departure,,
ups cannot deliver to p o boxes we ll return the package to the sender,,
the driver was unable to collect funds on the final delivery attempt,,
delivery will be rescheduled for saturday,,
ups was not able to secure an adult signature for this delivery delivery was not made,,
we do not currently serve the destination address for this package,,
the package did not arrive at the destination,,
this type of lithium battery is a restricted item prohibited by commercial airlines,,
ups access point location unable to accept package another attempt will be made to ups access point location,,
a flight cancelation has delayed delivery we re updating plans to deliver your package as quickly as possible,,
your package may be delayed due to a required x ray inspection,,
delivery has been rescheduled due to holiday closures,,
as requested we have given documentation to an alternate broker and are awaiting clearance,,
the package is being returned to the sender because the receiver refused delivery,,
the receiver doesn t accept c o d s and refused the delivery,,
the receiver asked that we hold the package for pickup,,
will call pickup must be made within 5 business days,,
a same day will call was arranged for this package,,
shipper export declaration documentation required for export is missing we re working to obtain this information,,
the receiver must pay the duties or taxes due on the package,,
a new tracking number was assigned to this package use the new tracking number for status updates,,
the state shown in the address is incorrect this may delay delivery we re attempting to update the address,,
the delivery is rescheduled,,
the package is being held for a future delivery date,,
your package may be delayed due to address verification by the clearing agency,,
your parcel was released by the customs agency,,
we re unable to deliver your package on schedule,,
the package was delivered at the receiver s location,,
the package has been damaged and the sender will be notified the damaged portion has been discarded and the undamaged portion will be delivered to the receiver,,
the package was not picked up at the ups access point location by the expiration date and is being returned to sender,,
the package has been damaged all merchandise has been discarded and the sender will be notified,,
please contact ups for additional information,,
the sender must provide a unique customs identification number so that the package can be cleared,,
the driver was unable to collect funds on the second delivery attempt a final attempt will be made,,
as requested the package was transferred to a free trade zone or a non ups broker,,
we ve requested that the receiver contact us,,
as requested by the sender the package is being returned contact the sender for additional information,,
a phone number is required for clearance or delivery we re working to obtain this information,,
a government agency has placed a hold on your package,,
your package has been delayed due to a fish and wildlife agency hold,,
customs is requesting clarification on invoice documentation sender or importer validation is required before release,,
the receiver has canceled the product order and refused delivery,,
the receiver had no invoice information for this package and has refused the delivery,,
the receiver will pick up the package at a ups facility,,
the receiver arranged to pick up the package at a ups facility pickup must be made within 5 business days,,
export documentation is missing and is required for clearance we are working to obtain this information,,
severe weather has delayed the package it will be delivered as soon as conditions permit,,
your package will be held at a warehouse until it is released by the clearance agency,,
the clearing agency is experiencing technical difficulties and is temporarily unable to transmit package information,,
out for delivery to ups access point,,
the package has been damaged and the sender will be notified the undamaged portion has been returned to the sender,,
we were unable to deliver to the ups access point location,,
we ve confirmed arrangements,,
we must contact the receiver for import requirements to clear the package but the receiver s phone is invalid,,
we were unable to deliver the package on our final attempt we are returning this package to the sender,,
the package was refused and will be returned to the sender,,
we ve submitted documentation to a government agency and are awaiting a response,,
modification of the receiver s address,,
customer was not available on 1st attempt delivery will be made to a nearby ups access point for customer to pick up,,
customer not in on 1st attempt delivery will be made to a ups access point next business day for customer pickup,,
the city name in the address is incorrect this may delay delivery we re attempting to update the address,,
the receiver has requested a delayed delivery,,
your package was released for delivery by the clearing agency,,
a ups processing error has delayed delivery we re adjusting plans as quickly as possible,,
the package was not ready at the time of the first pickup attempt a second attempt will be made,,
the importer has not assigned a broker this may delay delivery,,
the package has been damaged and the sender will be notified we are returning the merchandise to the sender,,
the service selected is not available to this destination address this has delayed delivery,,
we ve left a message for the receiver to contact us,,
a required security check has delayed delivery,,
we ve contacted the receiver to request additional information,,
the receiver states the product was not ordered and has refused the delivery,,
the receiver agreed to pickup the package at a ups location,,
we received a request to modify the delivery address,,
we ve modified the requested change of delivery for your package,,
the package is delayed due to a eurotunnel traffic disruption we are adjusting delivery plans as quickly as possible,,
the receiving business was closed,,
an adult signature is required to complete this delivery ups will make a second attempt,,
your package cannot be delivered to a p o box we re attempting to obtain an alternate delivery address,,
the shipment is being held commodity description information must be validated by the sender or importer,,
your package may be delayed we are adjusting delivery plans as quickly as possible,,
your package arrived late to the destination city you should expect at least one business day delay,,
we received a request to change delivery the request will be processed once the package returns to our facility,,
at the receiver s request the ups my choice delivery change option was modified,,
additional information is needed from the importer to provide duty relief for shipment repaired at origin,,
your shipment was not processed by ups brokerage this has caused a delay,,
we updated the delivery information for your package,,
we re unable to contact the receiver,,
corrected the postal code and the package is on it s way to the updated address,,
we received an additional request to change the delivery of this package the request is in progress,,
